Fk_Id_Direcciones;Clave;Nombre
1;SE;SUBDIRECCION DE EXPLORACION
1;SEECA;SUBDIRECCION DE EXPLORACION Y EXTRACCION POR CONTRATOS Y ASOCIACIONES
1;SERMN;SUBDIRECCION DE EXTRACCION REGION MARINA NORESTE
1;SERMS;SUBDIRECCION DE EXTRACCION REGION MARINA SUROESTE
1;SERTS;SUBDIRECCION DE EXTRACCION REGION TERRESTRE SUR
1;SERTN;SUBDIRECCION DE EXTRACCION REGION TERRESTRE NORTE
1;SMEEL;SUBDIRECCION DE MANTENIMIENTO ESTATICO Y LOGISTICA
1;STEE;SUBDIRECCION TECNICA DE EXPLORACION Y EXTRACCION
1;SAEE;SUBDIRECCION DE ADMINISTRACION DE EXPLORACION Y EXTRACCION
1;SSSTPA;SUBDIRECCION DE SEGURIDAD SALUD EN EL TRABAJO Y PROTECCION AMBIENTAL
1;SIEP;SUBDIRECCION DE DISEÑO INGENIERIA Y EJECUCION DE PROYECTO
1;SPTMP;SUBDIRECCION DE PERFORACION TERMINACION Y MANTENIMIENTO DE POZOS
2;SPP;SUBDIRECCION DE PRODUCCION DE PETROLIFEROS
2;SPPS;SUBDIRECCION DE PRODUCCION DE PETROQUIMICA SECUNDARIA
2;SPEO;SUBDIRECCION DE PLANEACION Y EVALUACION OPERATIVA
2;SAPP;SUBDIRECCION DE ABASTO DE PETROLIFEROS Y PETROQUIMICOS
2;SPI;SUBDIRECCION DE PROYECTOS INDUSTRIALES
2;SSIPA;SUBDIRECCION DE SEGURIDAD INDUSTRIAL Y PROTECCION AMBIENTAL
2;SF;SUBDIRECCION DE FERTILIZANTES
3;SPGD;SUBDIRECCION DE PROCESOS DE GAS Y DERIVADOS
3;SE;SUBDIRECCION DE ELECTRICIDAD
3;STEA;SUBDIRECCION DE TECNOLOGIAS Y ENERGIAS ALTERNATIVAS
3;SG;SUBDIRECCION DE GEOENERGIAS
4;STLP; SUBDIRECCION DE TRATAMIENTO Y LOGISTICA PRIMARIA
4;ST;SUBDIRECCION DE TRANSPORTE
4;SA;SUBDIRECCION DE ALMACENAMIENTO
4;SSESFI;SUBDIRECCION DE SALVAGUARDIA ESTRATEGICA SEGURIDAD FISICA E INDUSTRIAL
4;SRMCBSO;SUBDIRECCION DE REGULACION MEDICION CALIDAD BALANCES Y SOPORTE OPERATIVO
5;SEPIC;SUBDIRECCION DE ESTRATEGIA PRECIOS E INTELIGENCIA COMERCIAL
5;SCCTH;SUBDIRECCION DE COMERCIALIZACION DE COMBUSTIBLES DE TRANSPORTE E HIDROCARBUROS
5;SCPCI;SUBDIRECCION DE COMERCIALIZACION DE PRODUCTOS Y COMBUSTIBLES INDUSTRIALES
6;SP;SUBDIRECCION DE PRESUPUESTO
6;SCF;SUBDIRECCION DE CONTABILIDAD Y FISCAL
6;ST;SUBDIRECCION DE TESORERIA
6;SARAAEF;SUBDIRECCION DE ADMINISTRACION DE RIESGOS ASEGURAMIENTO Y ANALISIS ECONOMICO FINANCIERO
6;SCFSAF;SUBDIRECCION DE COORDINACION FINANCIERA Y SEGUIMIENTO A EMPRESAS FILIALES
7;SA;SUBDIRECCION DE ABASTECIMIENTO
7;SCH;SUBDIRECCION DE CAPITAL HUMANO
7;SSS;SUBDIRECCION DE SERVICIOS DE SALUD
7;SSAB;SUBDIRECCION DE SERVICIOS Y ADMINISTRACION DE BIENES
7;SDTIC;SUBDIRECCION DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES
7;SCCSAS;COORDINACION DE CONTROL Y SOPORTE DE ADMINISTRACION Y SERVICIOS
7;SGRS;GERENCIA DE RESPONSABILIDAD SOCIAL
7;SGIDH;GERENCIA DE INCLUSION Y DERECHOS HUMANOS
7;SGEL;GERENCIA DE ENLACE LEGISLATIVO
7;SGECA;GERENCIA DE ENLACE PARA EL CONSEJO DE ADMINISTRACION
7;SGCM;GERENCIA DE COMUNICACION Y MERCADOTECNIA
8;SJCC;SUBDIRECCION JURIDICA CONSULTIVA Y DE CONTRATOS
8;SJAE;SUBDIRECCION JURIDICA DE ASUNTOS ESPECIALES
8;SJC;SUBDIRECCION JURIDICA CONTENCIOSA
9;SPEAR;SUBDIRECCION DE PLANEACION ESTRATEGICA Y ANALISIS REGULATORIO
9;SEEI;SUBDIRECCION DE EJECUCION DE LA ESTRATEGIA DE INVERSIONES
9;SPCEII;SUBDIRECCION DE PROGRAMACION COORDINACION EVALUACION E INFORMACION INSTITUCIONAL
9;SSSGAEC;SUBDIRECCION DE SEGURIDAD SALUD GESTION AMBIENTAL ENERGETICA Y CONFIABILIDAD
9;SCII;SUBDIRECCION DE CONTROL INTERNO INSTITUCIONAL
9;SGS;GERENCIA DE SOSTENIBILIDAD
10;SGAP;GERENCIA DE AUDITORIA A PEMEX
10;SGAFLTI;GERENCIA DE AUDITORIA A FILIALES LEGALIDAD Y TECNOLOGIAS DE LA INFORMACION
10;SGAEE;GERENCIA DE AUDITORIA A EXPLORACION Y EXTRACCION
10;SAPITEL;GERENCIA DE AUDITORIA A PROCESOS INDUSTRIALES TRANSFORMACION ENERGETICA Y LOGISTICA
10;SGEIR;GERENCIA DE ENLACE CON INSTANCIAS REVISORAS
